source,metaedge,target,source_name,target_name,kind_of_source,kind_of_target
Disease::DOID:986,Disease - downregulates - Gene,Gene::26059,alopecia areata,ERC2,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::10651,Barrett's esophagus,MTX2,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::64223,schizophrenia,MLST8,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::345930,chronic obstructive pulmonary disease,ECT2L,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::137797,schizophrenia,LYPD2,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::25,rheumatoid arthritis,ABL1,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::160419,azoospermia,C12orf50,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::2977,pancreatic cancer,GUCY1A2,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::2940,psoriasis,GSTA3,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::1116,IgA glomerulonephritis,CHI3L1,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::3000,psoriatic arthritis,GUCY2D,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::2186,rheumatoid arthritis,BPTF,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::60314,Alzheimer's disease,C12orf10,Disease,Gene
Disease::DOID:7147,Disease - downregulates - Gene,Gene::6872,ankylosing spondylitis,TAF1,Disease,Gene
Disease::DOID:13223,Disease - downregulates - Gene,Gene::4881,uterine fibroid,NPR1,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::219844,chronic obstructive pulmonary disease,HYLS1,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::9148,pancreatic cancer,NEURL1,Disease,Gene
Disease::DOID:0050741,Disease - downregulates - Gene,Gene::26060,alcohol dependence,APPL1,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::6749,rheumatoid arthritis,SSRP1,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::1977,Parkinson's disease,EIF4E,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::2017,abdominal aortic aneurysm,CTTN,Disease,Gene
Disease::DOID:13223,Disease - downregulates - Gene,Gene::26034,uterine fibroid,IPCEF1,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::998,Parkinson's disease,CDC42,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::3632,acquired immunodeficiency syndrome,INPP5A,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::90390,nicotine dependence,MED30,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::2205,acquired immunodeficiency syndrome,FCER1A,Disease,Gene
Disease::DOID:3312,Disease - downregulates - Gene,Gene::54707,bipolar disorder,GPN2,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::55893,systemic scleroderma,ZNF395,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::80758,polycystic ovary syndrome,PRR7,Disease,Gene
